uid,label,chi,start,end
lab_2_5,1,"[[   3.  789.  387.]
 [   4.  792.  384.]
 [   5.  802.  381.]
 ...
 [  38.  999.   36.]
 [  39. 1002.   22.]
 [  40. 1005.    4.]]",[789. 387.],[1005.    4.]
lab_2_6,1,"[[  10.   534.   908. ]
 [  11.   532.5  910.5]
 [  12.   531.   913. ]
 ...
 [ 112.    10.  1004. ]
 [ 113.     3.  1018. ]
 [ 114.     3.  1018. ]]",[534. 908.],[   3. 1018.]
lab_2_7,1,"[[  14.  697. 1018.]
 [  15.  695. 1012.]
 [  16.  688.  999.]
 ...
 [  56.  760.  998.]
 [  57.  766. 1006.]
 [  58.  774. 1018.]]",[ 697. 1018.],[ 774. 1018.]
lab_2_8,1,"[[  37. 1017.   19.]
 [  38. 1017.    3.]]",[1017.   19.],[1017.    3.]
lab_2_9,1,"[[  39.   29.   11.]
 [  40.   25.   14.]
 [  41.   24.   17.]
 ...
 [ 138. 1000.  171.]
 [ 139. 1007.  174.]
 [ 140. 1017.  178.]]",[29. 11.],[1017.  178.]
lab_2_10,1,"[[ 105. 1020.   88.]
 [ 106. 1018.   89.]
 [ 107. 1008.   89.]
 ...
 [ 124.  993.  176.]
 [ 125. 1002.  173.]
 [ 126. 1008.  172.]]",[1020.   88.],[1008.  172.]
lab_2_11,1,"[[ 137.    6.  877.]
 [ 138.   16.  893.]
 [ 139.   30.  908.]
 ...
 [ 144.   83.  983.]
 [ 145.   95. 1000.]
 [ 146.  103. 1017.]]",[  6. 877.],[ 103. 1017.]
lab_2_12,1,"[[ 152.   35. 1016.]
 [ 153.   29. 1010.]
 [ 154.   18. 1006.]
 [ 155.   14.  997.]
 [ 156.    6.  988.]]",[  35. 1016.],[  6. 988.]
lab_2_13,1,"[[158.   14.  904. ]
 [159.   21.  909. ]
 [160.   29.  919. ]
 ...
 [302.  484.  764.5]
 [303.  495.  772. ]
 [304.  503.  775. ]]",[ 14. 904.],[503. 775.]
lab_2_14,1,"[[ 179.    1006.      84.   ]
 [ 180.     999.      78.   ]
 [ 181.     992.667   70.333]
 ...
 [ 187.     943.      25.   ]
 [ 188.     933.      11.   ]
 [ 189.     933.      11.   ]]",[1006.   84.],[933.  11.]
lab_2_15,1,"[[ 184.  735. 1021.]
 [ 185.  732. 1014.]
 [ 186.  726. 1004.]
 ...
 [ 302.  190.  810.]
 [ 303.  184.  818.]
 [ 304.  183.  823.]]",[ 735. 1021.],[183. 823.]
lab_2_16,1,"[[194.    3.  357. ]
 [195.   10.  363. ]
 [196.   17.  367. ]
 ...
 [302.  720.  531. ]
 [303.  726.5 524.5]
 [304.  733.  518. ]]",[  3. 357.],[733. 518.]
lab_2_17,1,"[[ 240.   62. 1014.]
 [ 241.   59. 1003.]
 [ 242.   56.  997.]
 ...
 [ 259.   15.  820.]
 [ 260.    8.  813.]
 [ 261.    5.  808.]]",[  62. 1014.],[  5. 808.]
lab_2_18,1,"[[258.   11.   24. ]
 [259.   18.   31. ]
 [260.   26.   37. ]
 ...
 [302.  467.  279.5]
 [303.  479.  282. ]
 [304.  495.  285. ]]",[11. 24.],[495. 285.]
lab_2_19,1,"[[265.   4.  16.]
 [266.   8.  24.]
 [267.   9.  32.]
 ...
 [302. 347. 174.]
 [303. 358. 179.]
 [304. 371. 182.]]",[ 4. 16.],[371. 182.]
lab_2_20,1,"[[ 278. 1009.  843.]
 [ 279.  998.  836.]
 [ 280.  990.  827.]
 ...
 [ 302.  741.  760.]
 [ 303.  727.  763.]
 [ 304.  713.  766.]]",[1009.  843.],[713. 766.]
lab_3_0,1,"[[  1.    162.    310.   ]
 [  2.    161.    311.5  ]
 [  3.    160.    313.   ]
 ...
 [ 72.     14.333 476.667]
 [ 73.     12.    478.   ]
 [ 74.      3.    480.   ]]",[162. 310.],[  3. 480.]
lab_3_1,0,"[[  1.     28.     69.   ]
 [  2.     28.061  69.091]
 [  3.     28.121  69.182]
 ...
 [298.      9.     72.944]
 [299.      9.     72.972]
 [300.      9.     73.   ]]",[28. 69.],[ 9. 73.]
lab_3_2,0,"[[  1.    356.     29.   ]
 [  2.    356.     29.091]
 [  3.    356.     29.182]
 ...
 [298.    351.978  35.944]
 [299.    351.989  35.972]
 [300.    352.     36.   ]]",[356.  29.],[352.  36.]
lab_3_3,0,"[[  1.    180.    245.   ]
 [  2.    179.95  244.878]
 [  3.    179.899 244.756]
 ...
 [298.    182.888 240.952]
 [299.    182.944 240.976]
 [300.    183.    241.   ]]",[180. 245.],[183. 241.]
lab_3_4,0,"[[  1.    688.    185.   ]
 [  2.    688.061 185.121]
 [  3.    688.121 185.242]
 ...
 [298.    684.146 176.   ]
 [299.    684.073 176.   ]
 [300.    684.    176.   ]]",[688. 185.],[684. 176.]
lab_3_5,0,"[[  1.    745.    616.   ]
 [  2.    744.61  616.024]
 [  3.    744.22  616.048]
 ...
 [298.    744.878 610.073]
 [299.    744.939 610.037]
 [300.    745.    610.   ]]",[745. 616.],[745. 610.]
lab_3_6,0,"[[  1.    612.    682.   ]
 [  2.    612.121 681.97 ]
 [  3.    612.242 681.939]
 ...
 [298.    619.341 677.878]
 [299.    619.171 677.939]
 [300.    619.    678.   ]]",[612. 682.],[619. 678.]
lab_3_7,0,"[[  1.    834.    804.   ]
 [  2.    833.946 803.946]
 [  3.    833.892 803.892]
 ...
 [298.    842.    805.024]
 [299.    842.    805.012]
 [300.    842.    805.   ]]",[834. 804.],[842. 805.]
lab_3_8,0,"[[  1.    535.    979.   ]
 [  2.    535.054 978.919]
 [  3.    535.108 978.838]
 ...
 [298.    551.    969.857]
 [299.    551.    969.929]
 [300.    551.    970.   ]]",[535. 979.],[551. 970.]
lab_3_9,0,"[[  1.    178.    976.   ]
 [  2.    178.027 976.   ]
 [  3.    178.054 976.   ]
 ...
 [298.    185.    958.   ]
 [299.    185.    958.   ]
 [300.    185.    958.   ]]",[178. 976.],[185. 958.]
lab_3_10,0,"[[  1.    565.    974.   ]
 [  2.    564.923 973.923]
 [  3.    564.846 973.846]
 ...
 [298.    574.6   966.   ]
 [299.    574.8   966.   ]
 [300.    575.    966.   ]]",[565. 974.],[575. 966.]
lab_3_11,0,"[[  1.    867.    129.   ]
 [  2.    866.921 129.043]
 [  3.    866.842 129.087]
 ...
 [298.    890.222 116.   ]
 [299.    890.111 116.   ]
 [300.    890.    116.   ]]",[867. 129.],[890. 116.]
lab_3_12,1,"[[ 191.  999. 1023.]
 [ 192. 1002. 1015.]
 [ 193. 1012. 1007.]
 [ 194. 1020. 1000.]]",[ 999. 1023.],[1020. 1000.]
lab_3_13,1,"[[237.    3.  330. ]
 [238.    8.  324. ]
 [239.   11.  317. ]
 ...
 [298.  446.5 345. ]
 [299.  447.  345. ]
 [300.  447.  346. ]]",[  3. 330.],[447. 346.]
lab_3_14,1,"[[ 266. 1018.  870.]
 [ 267. 1011.  878.]
 [ 268. 1005.  883.]
 ...
 [ 298.  799.  901.]
 [ 299.  787.  901.]
 [ 300.  778.  905.]]",[1018.  870.],[778. 905.]
lab_4_0,1,"[[1.000000e+00 5.723250e+02 8.944650e+02]
 [2.000000e+00 5.834580e+02 8.946650e+02]
 [3.000000e+00 5.945920e+02 8.948660e+02]
 ...
 [4.400000e+01 1.005825e+03 8.568990e+02]
 [4.500000e+01 1.011575e+03 8.564810e+02]
 [4.600000e+01 1.017325e+03 8.560640e+02]]",[572.325 894.465],[1017.325  856.064]
lab_4_1,0,"[[  1.     38.259  14.226]
 [  2.     39.021  15.8  ]
 [  3.     39.783  17.375]
 ...
 [299.    425.573 476.803]
 [300.    427.219 478.232]
 [301.    428.865 479.661]]",[38.259 14.226],[428.865 479.661]
lab_4_2,0,"[[  1.      6.97  263.453]
 [  2.      8.267 264.925]
 [  3.      9.563 266.397]
 ...
 [299.    370.859 691.713]
 [300.    372.126 692.894]
 [301.    373.392 694.074]]",[  6.97  263.453],[373.392 694.074]
lab_4_3,0,"[[  1.     37.22  276.226]
 [  2.     38.532 277.823]
 [  3.     39.844 279.421]
 ...
 [299.    422.804 699.626]
 [300.    424.137 700.94 ]
 [301.    425.47  702.254]]",[ 37.22  276.226],[425.47  702.254]
lab_4_4,0,"[[1.000000e+00 7.674140e+02 4.143430e+02]
 [2.000000e+00 7.686140e+02 4.151620e+02]
 [3.000000e+00 7.698130e+02 4.159800e+02]
 ...
 [2.190000e+02 1.017306e+03 6.032610e+02]
 [2.200000e+02 1.018083e+03 6.042640e+02]
 [2.210000e+02 1.018861e+03 6.052660e+02]]",[767.414 414.343],[1018.861  605.266]
lab_4_5,0,"[[  1.      2.575 550.479]
 [  2.      3.696 551.937]
 [  3.      4.817 553.395]
 ...
 [299.    352.835 933.718]
 [300.    354.085 935.027]
 [301.    355.335 936.335]]",[  2.575 550.479],[355.335 936.335]
lab_4_6,0,"[[1.000000e+00 1.613740e+02 6.958010e+02]
 [2.000000e+00 1.626460e+02 6.970770e+02]
 [3.000000e+00 1.639190e+02 6.983520e+02]
 ...
 [2.620000e+02 4.812230e+02 1.018505e+03]
 [2.630000e+02 4.825970e+02 1.019722e+03]
 [2.640000e+02 4.839720e+02 1.020939e+03]]",[161.374 695.801],[ 483.972 1020.939]
lab_4_7,0,"[[  1.    360.743 342.117]
 [  2.    362.039 343.602]
 [  3.    363.335 345.087]
 ...
 [164.    560.699 551.165]
 [165.    560.699 551.165]
 [166.    560.699 551.165]]",[360.743 342.117],[560.699 551.165]
lab_4_8,0,"[[1.000000e+00 9.668350e+02 7.345580e+02]
 [2.000000e+00 9.682510e+02 7.356440e+02]
 [3.000000e+00 9.696680e+02 7.367300e+02]
 ...
 [3.500000e+01 1.018357e+03 7.705710e+02]
 [3.600000e+01 1.019756e+03 7.717730e+02]
 [3.700000e+01 1.021156e+03 7.729760e+02]]",[966.835 734.558],[1021.156  772.976]
lab_4_9,0,"[[  1.    407.865 233.299]
 [  2.    409.465 235.103]
 [  3.    411.064 236.907]
 ...
 [299.    925.151 684.466]
 [300.    927.076 685.803]
 [301.    929.002 687.139]]",[407.865 233.299],[929.002 687.139]
lab_4_10,0,"[[  1.    653.62  208.602]
 [  2.    655.521 210.606]
 [  3.    657.422 212.609]
 ...
 [ 14.    678.782 234.049]
 [ 15.    680.833 235.853]
 [ 16.    682.884 237.656]]",[653.62  208.602],[682.884 237.656]
lab_4_11,0,"[[  1.    290.77  234.671]
 [  2.    292.177 236.894]
 [  3.    293.584 239.117]
 ...
 [ 33.    333.591 291.445]
 [ 34.    334.754 293.051]
 [ 35.    335.916 294.657]]",[290.77  234.671],[335.916 294.657]
lab_4_12,1,"[[ 10.    420.563 568.56 ]
 [ 11.    423.618 570.411]
 [ 12.    426.673 572.263]
 ...
 [178.    685.167 850.445]
 [179.    688.57  855.344]
 [180.    691.972 860.243]]",[420.563 568.56 ],[691.972 860.243]
lab_4_13,0,"[[ 21.    484.336   4.364]
 [ 22.    485.904   6.004]
 [ 23.    487.472   7.644]
 ...
 [299.    943.261 410.145]
 [300.    945.082 411.541]
 [301.    946.903 412.937]]",[484.336   4.364],[946.903 412.937]
lab_4_14,0,"[[ 28.      3.409 605.601]
 [ 29.      4.214 606.826]
 [ 30.      5.02  608.051]
 ...
 [132.    113.636 739.981]
 [133.    114.219 741.652]
 [134.    114.802 743.322]]",[  3.409 605.601],[114.802 743.322]
lab_4_15,0,"[[ 35.     53.092   1.954]
 [ 36.     54.654   3.895]
 [ 37.     56.217   5.836]
 ...
 [115.    161.693 138.503]
 [116.    164.434 140.729]
 [117.    167.175 142.955]]",[53.092  1.954],[167.175 142.955]
lab_4_16,0,"[[ 115.     799.768    3.445]
 [ 116.     801.949    5.419]
 [ 117.     804.131    7.393]
 ...
 [ 220.    1018.72   180.422]
 [ 221.    1020.387  182.343]
 [ 222.    1022.053  184.264]]",[799.768   3.445],[1022.053  184.264]
lab_4_17,0,"[[142.    257.342 204.315]
 [143.    258.634 205.839]
 [144.    259.925 207.362]
 ...
 [299.    476.2   443.062]
 [300.    477.647 444.279]
 [301.    479.093 445.495]]",[257.342 204.315],[479.093 445.495]
lab_4_18,0,"[[172.    316.539   3.445]
 [173.    318.253   5.235]
 [174.    319.967   7.024]
 ...
 [299.    508.126 214.529]
 [300.    509.664 215.917]
 [301.    512.997 218.59 ]]",[316.539   3.445],[512.997 218.59 ]
lab_4_19,0,"[[213.    447.177   3.821]
 [214.    449.015   5.752]
 [215.    450.853   7.683]
 ...
 [299.    600.098 163.262]
 [300.    602.05  165.171]
 [301.    604.002 167.08 ]]",[447.177   3.821],[604.002 167.08 ]
lab_4_20,0,"[[269.    132.668 699.65 ]
 [270.    133.835 700.983]
 [271.    135.001 702.317]
 ...
 [299.    166.606 738.775]
 [300.    167.668 740.15 ]
 [301.    169.168 742.9  ]]",[132.668 699.65 ],[169.168 742.9  ]
lab_4_21,0,"[[270.    912.002   3.685]
 [271.    914.029   5.355]
 [272.    916.057   7.026]
 ...
 [299.    973.45   52.409]
 [300.    975.719  54.105]
 [301.    977.988  55.801]]",[912.002   3.685],[977.988  55.801]
lab_4_22,0,"[[275.     41.668 736.65 ]
 [276.     42.251 737.317]
 [277.     42.835 737.983]
 ...
 [299.     66.368 764.35 ]
 [300.     67.668 765.65 ]
 [301.     68.668 766.15 ]]",[ 41.668 736.65 ],[ 68.668 766.15 ]
lab_4_23,0,"[[281.    245.751 605.067]
 [282.    246.993 606.37 ]
 [283.    248.236 607.673]
 ...
 [299.    270.048 630.808]
 [300.    271.566 632.437]
 [301.    273.085 634.067]]",[245.751 605.067],[273.085 634.067]
lab_5_0,0,"[[  1.    478.568 294.54 ]
 [  2.    479.814 295.911]
 [  3.    481.059 297.282]
 ...
 [298.    904.651 658.521]
 [299.    906.317 658.521]
 [300.    907.984 658.521]]",[478.568 294.54 ],[907.984 658.521]
lab_5_1,0,"[[1.000000e+00 9.419020e+02 2.427810e+02]
 [2.000000e+00 9.437620e+02 2.440290e+02]
 [3.000000e+00 9.456210e+02 2.452770e+02]
 ...
 [4.200000e+01 1.018318e+03 2.973780e+02]
 [4.300000e+01 1.020152e+03 2.985880e+02]
 [4.400000e+01 1.021985e+03 2.997990e+02]]",[941.902 242.781],[1021.985  299.799]
lab_5_2,0,"[[  1.     72.068 249.292]
 [  2.     73.156 250.716]
 [  3.     74.243 252.139]
 ...
 [298.    443.867 646.662]
 [299.    445.176 647.928]
 [300.    446.485 649.194]]",[ 72.068 249.292],[446.485 649.194]
lab_5_3,0,"[[  1.    165.568  30.235]
 [  2.    165.509  30.143]
 [  3.    165.45   30.052]
 ...
 [ 55.    161.857  24.231]
 [ 56.    161.755  24.102]
 [ 57.    161.652  23.974]]",[165.568  30.235],[161.652  23.974]
lab_5_4,0,"[[  1.    264.402 132.25 ]
 [  2.    265.889 133.924]
 [  3.    267.376 135.598]
 ...
 [ 29.    309.561 178.81 ]
 [ 30.    311.44  180.45 ]
 [ 31.    313.319 182.089]]",[264.402 132.25 ],[313.319 182.089]
lab_5_5,0,"[[1.000000e+00 9.116380e+02 7.702090e+02]
 [2.000000e+00 9.130750e+02 7.712740e+02]
 [3.000000e+00 9.145120e+02 7.723390e+02]
 ...
 [6.700000e+01 1.017636e+03 8.403230e+02]
 [6.800000e+01 1.018917e+03 8.414500e+02]
 [6.900000e+01 1.020198e+03 8.425780e+02]]",[911.638 770.209],[1020.198  842.578]
lab_5_6,1,"[[  1.    842.361 765.114]
 [  2.    844.272 765.838]
 [  3.    846.183 766.562]
 ...
 [ 53.    966.    801.066]
 [ 54.    968.167 801.191]
 [ 55.    970.333 801.316]]",[842.361 765.114],[970.333 801.316]
lab_5_7,0,"[[1.000000e+00 1.012822e+03 9.826030e+02]
 [2.000000e+00 1.014238e+03 9.833960e+02]
 [3.000000e+00 1.015655e+03 9.841900e+02]
 ...
 [5.000000e+00 1.018487e+03 9.857770e+02]
 [6.000000e+00 1.019904e+03 9.865710e+02]
 [7.000000e+00 1.021320e+03 9.873640e+02]]",[1012.822  982.603],[1021.32   987.364]
lab_5_8,0,"[[  1.    682.393 935.415]
 [  2.    682.337 934.97 ]
 [  3.    682.282 934.524]
 ...
 [298.    652.234 910.5  ]
 [299.    652.234 910.5  ]
 [300.    652.234 910.5  ]]",[682.393 935.415],[652.234 910.5  ]
lab_5_9,1,"[[1.000000e+00 6.977230e+02 9.616400e+02]
 [2.000000e+00 6.996390e+02 9.625310e+02]
 [3.000000e+00 7.015550e+02 9.634220e+02]
 ...
 [4.000000e+01 7.716240e+02 1.016847e+03]
 [4.100000e+01 7.736650e+02 1.019060e+03]
 [4.200000e+01 7.757060e+02 1.021273e+03]]",[697.723 961.64 ],[ 775.706 1021.273]
lab_5_10,0,"[[  1.    564.835 793.434]
 [  2.    566.573 794.675]
 [  3.    568.31  795.916]
 ...
 [111.    750.255 936.281]
 [112.    752.15  937.81 ]
 [113.    754.044 939.34 ]]",[564.835 793.434],[754.044 939.34 ]
lab_5_11,0,"[[1.000000e+00 7.315930e+02 2.558540e+02]
 [2.000000e+00 7.333930e+02 2.574580e+02]
 [3.000000e+00 7.351920e+02 2.590610e+02]
 ...
 [1.560000e+02 1.018219e+03 4.755290e+02]
 [1.570000e+02 1.019968e+03 4.769700e+02]
 [1.580000e+02 1.021718e+03 4.784110e+02]]",[731.593 255.854],[1021.718  478.411]
lab_5_12,0,"[[1.000000e+00 7.664190e+02 2.724750e+02]
 [2.000000e+00 7.681190e+02 2.741290e+02]
 [3.000000e+00 7.698180e+02 2.757820e+02]
 ...
 [1.360000e+02 1.018281e+03 4.658890e+02]
 [1.370000e+02 1.020280e+03 4.673590e+02]
 [1.380000e+02 1.022280e+03 4.688290e+02]]",[766.419 272.475],[1022.28   468.829]
lab_5_13,0,"[[  1.    641.279 233.304]
 [  2.    641.454 233.204]
 [  3.    641.629 233.104]
 ...
 [298.    609.068 213.736]
 [299.    608.947 213.669]
 [300.    608.826 213.602]]",[641.279 233.304],[608.826 213.602]
lab_5_14,0,"[[  1.    819.157 283.248]
 [  2.    820.932 285.052]
 [  3.    822.706 286.856]
 ...
 [  9.    833.354 297.68 ]
 [ 10.    835.128 299.484]
 [ 11.    836.903 301.288]]",[819.157 283.248],[836.903 301.288]
lab_5_15,0,"[[  1.    408.33   56.412]
 [  2.    410.263  58.517]
 [  3.    412.196  60.621]
 ...
 [298.    961.314 540.426]
 [299.    963.387 542.115]
 [300.    965.461 543.804]]",[408.33   56.412],[965.461 543.804]
lab_5_16,0,"[[1.000000e+00 5.479660e+02 2.400700e+01]
 [2.000000e+00 5.497840e+02 2.563700e+01]
 [3.000000e+00 5.516020e+02 2.726600e+01]
 ...
 [2.410000e+02 1.015869e+03 4.181130e+02]
 [2.420000e+02 1.018073e+03 4.195030e+02]
 [2.430000e+02 1.020277e+03 4.208920e+02]]",[547.966  24.007],[1020.277  420.892]
lab_5_17,0,"[[  1.    220.037 147.948]
 [  2.    221.703 149.685]
 [  3.    223.37  151.422]
 ...
 [ 96.    367.824 309.564]
 [ 97.    369.414 311.189]
 [ 98.    371.005 312.814]]",[220.037 147.948],[371.005 312.814]
lab_5_18,0,"[[1.000000e+00 5.907900e+02 5.607800e+01]
 [2.000000e+00 5.924560e+02 5.784100e+01]
 [3.000000e+00 5.941230e+02 5.960400e+01]
 ...
 [2.480000e+02 1.019157e+03 4.335410e+02]
 [2.490000e+02 1.021074e+03 4.345430e+02]
 [2.500000e+02 1.022990e+03 4.355450e+02]]",[590.79   56.078],[1022.99   435.545]
lab_5_19,0,"[[  1.    541.606 452.158]
 [  2.    543.026 453.488]
 [  3.    544.446 454.818]
 ...
 [298.    973.696 788.84 ]
 [299.    973.053 788.519]
 [300.    973.053 788.519]]",[541.606 452.158],[973.053 788.519]
lab_5_20,0,"[[  1.    527.451 435.564]
 [  2.    528.836 436.852]
 [  3.    530.22  438.141]
 ...
 [298.    948.651 771.814]
 [299.    949.951 772.564]
 [300.    949.951 772.564]]",[527.451 435.564],[949.951 772.564]
lab_5_21,0,"[[  5.      3.709 609.686]
 [  6.      4.842 611.056]
 [  7.      5.975 612.425]
 ...
 [298.    346.157 939.672]
 [299.    347.396 940.63 ]
 [300.    348.635 941.589]]",[  3.709 609.686],[348.635 941.589]
lab_5_22,0,"[[   5.     499.68     2.939]
 [   6.     501.663    4.693]
 [   7.     503.646    6.447]
 ...
 [ 284.    1018.069  433.564]
 [ 285.    1020.318  435.506]
 [ 286.    1022.568  437.448]]",[499.68    2.939],[1022.568  437.448]
lab_5_23,0,"[[ 15.      3.542 479.146]
 [ 16.      4.542 480.363]
 [ 17.      5.542 481.58 ]
 ...
 [298.    337.363 815.495]
 [299.    338.667 816.614]
 [300.    339.971 817.732]]",[  3.542 479.146],[339.971 817.732]
lab_5_24,1,"[[ 15.    551.171 840.705]
 [ 16.    555.817 840.602]
 [ 17.    560.464 840.5  ]
 ...
 [ 49.    740.006 873.439]
 [ 50.    745.338 875.047]
 [ 51.    750.67  876.655]]",[551.171 840.705],[750.67  876.655]
lab_5_25,1,"[[ 21.    780.999 299.618]
 [ 22.    784.094 299.499]
 [ 23.    787.188 299.379]
 ...
 [ 29.    805.549 298.616]
 [ 30.    808.438 298.449]
 [ 31.    811.326 298.282]]",[780.999 299.618],[811.326 298.282]
lab_5_26,0,"[[  29.     842.522    2.438]
 [  30.     844.688    4.22 ]
 [  31.     846.854    6.002]
 ...
 [ 117.    1017.961  142.643]
 [ 118.    1020.139  144.074]
 [ 119.    1022.317  145.506]]",[842.522   2.438],[1022.317  145.506]
lab_5_27,0,"[[ 51.    516.793 562.171]
 [ 52.    518.203 563.388]
 [ 53.    519.614 564.605]
 ...
 [298.    903.577 865.692]
 [299.    906.243 865.692]
 [300.    908.909 865.692]]",[516.793 562.171],[908.909 865.692]
lab_5_28,0,"[[ 52.    134.318   4.356]
 [ 53.    135.55    5.733]
 [ 54.    136.782   7.111]
 ...
 [234.    360.109 275.129]
 [235.    361.421 276.444]
 [236.    362.734 277.759]]",[134.318   4.356],[362.734 277.759]
